ID,Name,Price,Description
266237,Шуба из искусственного меха,19999.00,"<ul>
<li>Длинношерстный искусственный мех под мех ламы</li>
<li>Подклад</li>
<li>Прямой крой</li>
<li>Широкий отложной воротник</li>
<li>Боковые карманы</li>
<li>Застежка на шубные крючки</li>
<li>Цвет: сливочный</li>
<li>Комфортная температура для носки — не ниже -7°C</li>
<li>На модели размер 44. Крой модели соответствует стандартному размеру</li>
</ul>"
271320,Сатиновая юбка-баллон,4999.00,"<ul>
<li>Плотная сатиновая ткань с подкладом</li>
<li>Крой-трапеция с воланами</li>
<li>Длина мини</li>
<li>Высокая посадка</li>
<li>Застежка на скрытую молнию сбоку</li>
<li>Цвет: черный</li>
<li>На модели размер 44. Крой модели соответствует стандартному размеру</li>
</ul>"
274844,Сумка со стразами,5999.00,"<ul>
<li>Прочный текстиль с отделкой стразами</li>
<li>Мягкая форма</li>
<li>Короткий ремень</li>
<li>Одно основное отделение</li>
<li>Затягивается с помощью кулиски</li>
<li>Цвет: черный</li>
</ul>"
271952,Платье из сетки со стразами,11999.00,"<ul>
<li>Верх: сетка со стразами</li>
<li>Нижнее платье из поливискозы</li>
<li>Прилегающий крой</li>
<li>Длина миди</li>
<li>Подол с разрезом сзади</li>
<li>Воротник-стойка с застежкой на молнию</li>
<li>Цвет: серый</li>
<li>На модели размер 44. Крой модели соответствует стандартному размеру.</li>
</ul>"
268527,Топ-бандо с бусинами,6599.00,"<ul>
<li>Плотная ткань с подкладом</li>
<li>Отделка бусинами под жемчуг</li>
<li>Декоративная вставка из сетчатой ткани по линии верха</li>
<li>Прилегающий крой</li>
<li>Открытая линия плеч</li>
<li>Застегивается на спинке на скрытую молнию</li>
<li>Цвет: слоновая кость</li>
<li>На модели размер 44. Крой модели соответствует стандартному размеру</li>
</ul>"
267397,Джинсы Relaxed,9999.00,"<ul>
<li>Деним из хлопка с вискозой</li>
<li>Свободный крой</li>
<li>Декоративные разрывы</li>
<li>Отделка жемчужными бусинами</li>
<li>Средняя посадка</li>
<li>V-образная кокетка на спинке</li>
<li>Функциональные карманы</li>
<li>Шлевки для ремня</li>
<li>Застежка: молния и пуговица</li>
<li>Цвет: голубой индиго</li>
<li>На модели размер 44. Крой модели соответствует стандартному размеру</li>
</ul>"
269157,Топ с открытыми плечами,3599.00,"<ul>
<li>Плотная ткань джерси</li>
<li>Отделка бусинами под жемчуг</li>
<li>Прилегающий крой </li>
<li>Открытая линия плеч</li>
<li>Лиф с драпировкой</li>
<li>Два цвета: молочный и черный</li>
<li>На модели размер 44. Крой модели соответствует стандартному размеру</li>
</ul>"
271063,Шейное украшение,2599.00,
274435,Платье-комбинация с бисером,8999.00,"<ul>
<li>Сетчатая ткань с вышивкой бисером</li>
<li>Подклад</li>
<li>Полуприлегающий крой</li>
<li>Длина миди</li>
<li>Тонкие бретели</li>
<li>Цвет: серый</li>
<li>На модели размер 44. Крой модели соответствует стандартному размеру.</li>
</ul>"
271620,Комбинезон на одно плечо,10999.00,"<ul>
<li>Плотная костюмная ткань с подкладом</li>
<li>Асимметричный крой на одно плечо</li>
<li>Длина макси</li>
<li>Брюки с широкими складками</li>
<li>Застежка на скрытую молнию сбоку</li>
<li>Цвет: черный</li>
<li>На модели размер 44. Крой модели соответствует стандартному размеру</li>
</ul>"
271245,Брюки из сатина,5999.00,"<ul>
<li>Плотная сатиновая ткань</li>
<li>Прямой крой</li>
<li>Высокая посадка</li>
<li>Шлевки для ремня</li>
<li>Карманы в боковых швах</li>
<li>Застежка на молнию, пуговицу и крючок</li>   
<li>Цвет: темно-серый</li>
<li>На модели размер 44. Крой модели соответствует стандартному размеру</li>
</ul>"
267330,Боди из сетки с люрексом,3599.00,"<ul>
<li>Трикотажная сетка с люрексом</li>
<li>Облегающий крой с драпировкой на талии</li>
<li>Длинные рукава</li>
<li>Ластовица с застежкой на кнопки</li>
<li>Два цвета: черный и антрацитовый</li>
<li>На модели размер 44. Крой модели соответствует стандартному размеру</li>
</ul>"
